qstr_{reg1}.0|{reg1}.0
qstr_Never:_Enter_the_pri|Never: Enter the prison.
qstr_Stroll_the_grounds.|Stroll the grounds.
qstr_Visit_your_Farmstead|Visit your Farmstead.
qstr_Attempt_to_visit_a_l|Attempt to visit a lady.
qstr_Trade_with_locals.|Trade with locals.
qstr_Travel_to_another_Po|Travel to another Port.
qstr_Manage_this_{reg0?to|Manage this {reg0?town:castle}.
qstr_Move_your_court_here|Move your court here.
qstr_Manage_the_garrison.|Manage the garrison.
qstr___{reg1}_penings_per| ({reg1} penings per night)
qstr_See_the_ships.|See the ships.
qstr_Symbel_for_your_men.|Symbel for your men.
qstr_Sail_from_port.|Sail from port.
qstr_switch_to_land_conse|switch to land consequences
qstr_switch_to_water_cons|switch to water consequences
qstr_Error:_get_next_wate|Error: get next water position
qstr_get_next_land_positi|get next land position failed with radius: {reg1}
qstr_vWaveInfo|vWaveInfo
qstr_vWaveOrigin|vWaveOrigin
qstr_vTimer|vTimer
qstr_Wank_ERROR!|Wank ERROR!
qstr_Error_1_in_calculate|Error 1 in calculate dockingpoint
qstr_ERROR:_I_dont_have_t|ERROR: I dont have this ship type
qstr_TEST:_CRITICAL_COLLI|TEST: CRITICAL COLLISION!
qstr_SHIP_{reg8}_ERROR:_g|SHIP {reg8} ERROR: gtbws not the same!
qstr_TEST:_I_m_playing_sn|TEST: I'm playing snd crash now
qstr_Port_of_{s1}|Port of {s1}
qstr_vSeason|vSeason
qstr_vWindStrength|vWindStrength
qstr_vWindDirection|vWindDirection
qstr_Refill_Supplies|Refill Supplies
qstr_{s1}_of_the_{s3}_was|{s1} of the {s3} was defeated in battle but managed to escape.
qstr_{s49}{s12}|{s49}{s12}
qstr_{s54}_is_a_claimant_|{s54} is a claimant to the throne of the {s56}.
qstr_nowhere|nowhere
qstr_{s57}_and_{s58}|{s57} and {s58}
qstr_{reg3?She:He}|{reg3?She:He}
qstr_The_town_of_{s50}|The town of {s50}
qstr_The_village_of_{s50}|The village of {s50} near {s52}
qstr_{s51}_belongs_to_{s1|{s51} belongs to {s1} of the {s2}.^
qstr_{s7}_and_{s8}|{s7} and {s8}
qstr_{s2}It_has_no_villag|{s2}It has no villages.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Its villages are:Its village is} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Its prosperity is: {s50}
qstr_{s9}_and_{s10}|{s9} and {s10}
qstr_{s21}._The_{s8}_decl|{s21}. The {s8} declared war to fulfil an alliance.
qstr_The_{s5}_has_been_de|The {s5} has been defeated!
qstr_{s7}_opened_the_gate|{s7} opened the gate.
qstr_{s7}_closed_the_gate|{s7} closed the gate.
qstr_You_have_received_{r|You have received {reg5} critical damage!
qstr_You_have_dealt_{reg5|You have dealt {reg5} critical damage!
qstr_You_have_received_{re|You have received {reg5} critical damage to your head and lose vision for a second!
qstr_You_unleash_your_bat|You unleash your battle rage!!!
qstr_You_feel_exhausted_a|You feel exhausted after the rage!!!
qstr_Your_strength_is_bac|Your strength is back.
qstr_You_are_too_exhauste|You are too exhausted to go into a battle rage.
qstr_The_sound_of_your_si|The sound of your side's horn makes you feel stronger!
qstr_The_sound_of_the_ene|The sound of the enemy's horn makes you feel doubtful.
qstr_You_are_no_longer_af|You are no longer affected by having heard the horn.
qstr_{reg1}_ally_troops_w|{reg1} ally troops were affected by your horn!
qstr_No_ally_troops_were_|No ally troops were affected by your horn.
qstr_You_need_to_catch_yo|You need to catch your breath before blowing the horn again.
qstr_Your_supplies_are_re|Your supplies are replenished.
qstr_AI_warriors_were_sla|AI warriors were slain by an admin
qstr_All_players_were_sla|All players were slain by an admin
qstr_Player__{s1}__was_sl|Player '{s1}' was slain by an admin
qstr_All_players_were_hea|All players were healed by an admin
qstr_Player__{s1}__was_he|Player '{s1}' was healed by an admin
qstr_Teams_have_been_swap|Teams have been swapped by an admin
qstr_Player__{s1}__was_sw|Player '{s1}' was swapped to other team by an admin
qstr_All_players_were_swa|All players were swapped to spectator by an admin
qstr_Player__{s1}__was_swa|Player '{s1}' was swapped to spectator by an admin
qstr_{s1}_recieved_a_Thor|{s1} recieved a Thor's Hammer from an admin
qstr_Grants_+{reg1}_to_pa|Grants +{reg1} to party morale
qstr_Increases_morale_dur|Increases morale during battle
qstr_Heavy_Armour:_you_su|Heavy Armour: you suffer high penalties for certain skills.
qstr_Medium_Armour:_you_s|Medium Armour: you suffer penalties for certain skills.
qstr_Heavy_Equipment:_you|Heavy Equipment: you suffer penalties for certain skills.
qstr_Ritual_Equipment:_Ad|Ritual Equipment: Advantages in certain skills
qstr_Improves_leadership_|Improves leadership and persuasion.
qstr_Requires_{reg1}_inte|Requires {reg1} intelligence to read
qstr_Reading_Progress:_{r|Reading Progress: {reg1}%
qstr_wound_treatment|wound treatment
qstr_trainer|trainer
qstr_surgery|surgery
qstr_persuasion|persuasion
qstr_Gives_+1_to_{s1}_whi|Gives +1 to {s1} while in inventory
qstr_Move_here|Move here
qstr_View_notes|View notes
qstr_Accompany|Accompany
qstr_killed|killed
qstr_wounded|wounded
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOTAL: {reg3} ({s2})
qstr_^{s0}|^{s0}
qstr_nothing|nothing
qstr_{reg0}_village{reg1?|{reg0} village{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} castle{reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} castle{reg1?s:} and {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} town{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} town{reg1?s:} and {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} town{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Your opponents are ready for the fight.
qstr_Try_to_destroy_as_ma|Try to destroy as many targets as you can. You have two and a half minutes to clear the track.
qstr_Stay_behind_the_line|Stay behind the line on the ground and shoot the targets. Try not to waste any shots.
qstr_Battle_Advantage_=_{|Battle Advantage = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} wants you to resume following his army until further notice.
qstr__Being_Raided_|(Being Raided)
qstr__Looted_|(Looted)
qstr__Under_Siege_|(Under Siege)
qstr_The_village_of_{s1}_|The village of {s1} has been looted by {s2}.
qstr_{s3}_is_no_longer_un|{s3} is no longer under siege.
qstr_Small_bands_of_enemi|Small bands of enemies have been spotted near {s1}.
qstr_Enemy_patrols_have_b|Enemy patrols have been spotted near {s1}.
qstr_A_medium_sized_group|A medium-sized group of enemies has been spotted near {s1}.
qstr_A_significant_group_|A significant group of enemies has been spotted near {s1}.
qstr_An_army_of_enemies_h|An army of enemies has been spotted near {s1}.
qstr_A_large_army_of_enem|A large army of enemies has been spotted near {s1}.
qstr_A_great_host_of_enem|A great host of enemies has been spotted near {s1}.
qstr_{s1}_has_been_besieg|{s1} has been besieged by {s2} of the {s3}.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1} is the new marshal of the {s2}.
qstr_You_gain_{reg12}_ren|You gain {reg12} renown.
qstr_You_lose_{reg12}_ren|You lose {reg12} renown.
qstr_Your_relation_with_{|Your relation with {s1} has improved.
qstr_Your_relation_with_{s|Your relation with {s1} has deteriorated.
qstr_You_gain_reputation.|You gain reputation.
qstr_You_lose_reputation.|You lose reputation.
qstr_Now_your_reputation_|Now your reputation is {reg1}
qstr_The_{s1}_has_declare|The {s1} has declared war against the {s2}.
qstr_The_{s15}_complies_w|The {s15} complies with its alliance with the {s17} by attacking the {s16}.
qstr_The_{s1}_and_the_{s2|The {s1} and the {s2} have made peace with each other.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?was:is currently} at {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?was:is} travelling to {s3} and {reg4?she:he} {reg3?was:should be} close to {s4}{reg3?: at the moment}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?was:is} in the field and {reg4?she:he} {reg3?was:should be} close to {s3}{reg3?: at the moment}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?was:is} being held captive at {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?was:has been} taken captive by {reg4?her:his} enemies.
qstr_I_don_t_know_where_{|I don't know where {s2} {reg3?was:is}.
qstr_{s2}_is_attacking_th|{s2} is attacking the Saxons.
qstr_{s2}_is_defending_th|{s2} is defending th kingdom of Ragnar's sons.
qstr_{s6}_has_joined_your|{s6} has joined your party.
qstr_TEST:_A_ally_agent_j|TEST: A ally agent just started to flee!
qstr_TEST:_A_enemy_agent_|TEST: A enemy agent just started to flee!
qstr_You_now_owe_{reg2}_p|You now owe {reg2} penings to {s1}.
qstr_You_stand_to_gain_{r|You stand to gain {reg8} renown if you win this battle.
qstr_You_have_run_into_a_|You have run into a trap!
qstr_You_are_attacked_by_|You are attacked by a group of bandits!
qstr_Holding|Holding
qstr_Following|Following
qstr_Charging|Charging
qstr_Advancing|Advancing
qstr_Falling_Back|Falling Back
qstr_Standing_Closer|Standing Closer
qstr_Spreading_Out|Spreading Out
qstr_Standing|Standing
qstr_N/A|N/A
qstr_Free|Free
qstr_Any_Weapon|Any Weapon
qstr_Blunt_Weapons|Blunt Weapons
qstr_{s1}_Rebels|{s1} Rebels
qstr_Given_by:_{s62}|Given by: {s62}
qstr_Given_on:_{s60}|Given on: {s60}
qstr_You_have_{reg0}_days|You have {reg0} days to finish this quest.
qstr_This_quest_has_been_|This quest has been concluded. Give {s59} the news.
qstr_You_have_successfull|You have successfully completed your mission. Let {s59} know.
qstr_Your_mission_has_fai|Your mission has failed. Talk to {s59} to explain the situation.
qstr_At_the_time_quest_wa|At the time quest was given:^{s1}
qstr_The_{s5}_has_a_stren|The {s5} has a strength of {reg1} men in total.
qstr_The_last_time_you_sa|The last time you saw {reg1?her:him}, {s1}
qstr_The_last_time_you_he|The last time you heard about {reg1?her:him}, {s1}
qstr_The_current_garrison|The current garrison consists of {reg5} men.^It has food stocks enough for {reg6} days.
qstr_Very_Poor|Very Poor
qstr_Poor|Poor
qstr_Average|Average
qstr_Rich|Rich
qstr_Very_Rich|Very Rich
qstr_Manor|Manor
qstr_A_manor_lets_you_res|A manor lets you rest at the village and pay your troops half wages while you rest.
qstr_Mill|Mill
qstr_A_mill_increases_vil|A mill increases village prosperity by 5%.
qstr_Watch_Tower|Watch Tower
qstr_A_watch_tower_lets_t|A watch tower lets the villagers raise alarm earlier. The time it takes for enemies to loot the village increases by 50%.
qstr_School|School
qstr_A_shool_increases_th|A shool increases the loyality of the villagers to you by +1 every month.
qstr_Messenger_Post|Messenger Post
qstr_A_messenger_post_let|A messenger post lets the inhabitants send you a message whenever enemies are nearby, even if you are far away from here.
qstr_Prison_Tower|Prison Tower
qstr_A_prison_tower_reduc|A prison tower reduces the chance of captives held here from running away successfully.
qstr_Christian_Monastery|Christian Monastery
qstr_A_monastery_promotes|A monastery promotes devout Christianity.
qstr_Temple_of_god_Odin|Temple of god Odin
qstr_A_temple_promotes_pa|A temple promotes pagan practices.
qstr_Christian_Church|Christian Church
qstr_A_church_promotes_de|A church promotes devout Christianity.
qstr_Shrine_of_Norse_Gods|Shrine of Norse Gods.
qstr_A_shrine_promotes_pa|A shrine promotes pagan practices.
qstr_Blacksmith|Blacksmith
qstr_A_blacksmith_manufac|A blacksmith manufactures and sells tools and weapons.
qstr_Merchants__Rest_Hall|Merchants' Rest Hall
qstr_A_rest_hall_encourag|A rest hall encourages the merchant community, adding prosperity.
qstr_Scriptorium|Scriptorium
qstr_A_scriptorium_increa|A scriptorium increases your renown as a patron of knowledge.
qstr_The_prosperity_of_{s|The prosperity of {s2} has changed from {s3} to {s4}.
qstr_{s4}_looks_upset.|{s4} looks upset.
qstr_your_party|your party
qstr_{reg0?One_of_your_pr|{reg0?One of your prisoners, :}{s1} of the {s3} has escaped from captivity!
qstr_You_have_delivered_{|You have delivered {reg3} head of cattle to {s1}.
qstr_I_heard_that_there_w|I heard that there will be a tournament in {s62} soon.
qstr_I_heard_that_one_can|I heard that one can buy {s62} very cheap at {s63}.
qstr_I_heard_that_they_pa|I heard that they pay a very high price for {s62} at {s63}.
qstr_I_heard_that_the_Dan|I heard that the Danish promise to conquer West Seaxe before next spring.
qstr_Currently_the_most_r|Currently, the most requested song the bards perform, is the one of King Cadwallon of Gwynedd and King Penda of Mierce invading Northhymbre and penetrating deep into the heart of the old kingdom of Deira. There King Eadwine amassed his warriors and rode south to meet them in battle. The two armies meet at Haedfeldland and engaged in the bloodiest and most brutal battle of the time. Perhaps it is so poular because of the recent invasion.
qstr_I_heard_the_Pope_in_|I heard the Pope in Rome sent missionaries to convert the Danish!
qstr_Ragnar_s_sons_are_th|Ragnar's sons are the most dangerous men in the world. I hear they are relentless, and nobody dares to face up to them.
qstr_I_think_the_wife_of_|I think the wife of my friend is cheating on him with a bard.
qstr_I_hate_bandits!_Some|I hate bandits! Somebody should kill them all.
qstr_I_would_like_to_know|I would like to know about the Roman times.
qstr_Many_of_the_nobles_o|Many of the nobles of Englaland are very impressed by young princess Hild. She is so beautiful. Too bad she has religious leanings!
qstr_A_traveller_told_me_|A traveller told me the Franks are recruiting men for attacking the Frisians.
qstr_The_Danish_have_brou|The Danish have brought all kinds of foreigners with them. It's like the whole world has come to old Englaland.
qstr_West_Seaxe_was_never|West Seaxe was never as powerful as now. It is logical that their king is considered Brytenwalda.
qstr_I_wish_the_world_was|I wish the world was less dangerous. Few men grow old.
qstr_I_ve_been_told_the_a|I've been told the army of the Ui Neill maintains strict discipline and training. For that reason they are the most powerful in Hibernia!
qstr_two_days_ago|two days ago
qstr_The_marshal_is_levyi|The marshal is levying {reg0} troops from your center {s10}.
qstr_DEBUG_:_attack_of_{s|DEBUG : attack of {s8} is {reg0}({reg11}), prs:{reg7}, pow:{reg8}, dis:{reg9}, lst:{reg10}
qstr_{s35}_of_the_{s34}|{s35} of the {s34}
qstr_{s37}_of_the_{s36}|{s37} of the {s36}
qstr_You_gain_right_to_ru|You gain right to rule.
qstr_You_lose_right_to_ru|You lose right to rule.
qstr_You_are_an_elder._Yo|You are an elder. You can count many years toward your life experiences. You may not be as strong and agile as before, but certainly you are wiser.
qstr_You_are_an_adult._Yo|You are an adult. You are at an age where a reasonable amount of experience and health meet.
qstr_You_are_a_youth._You|You are a youth. You are full of energy and eager to change the world around you.
qstr_According_to_Galen_s|According to Galen's ancient temperaments, your personality is:
qstr_Phlegmatic._Its_elem|Phlegmatic. Its element is water and its Hippocrates humor is phlegm. It is associated with people who are calm, compassionate, self-content, reliable, shy, observant and consistent. These people are also resistant to change, distant, relaxed and reserved.
qstr_Melancholic._Its_ele|Melancholic. Its element is earth and its Hippocrates humor is black bile. It is associated with people who are introverted, sensitive, intuitive, creative, perfectionistic, patient, caring and tolerant. These people are also clumsy, obsessed, depressed and dissatisfied.
qstr_Choleric._Its_elemen|Choleric. Its element is fire and its Hippocrates humor is yellow bile. It is associated with people who are persuasive, egocentric, extroverted, independent, charismatic and ambitious. These people are also insistent, impetuous, bad-tempered, restless and touchy.
qstr_Sanguine._Its_elemen|Sanguine. Its element is air and its Hippocrates humor is blood. It is associated with people who are optimistic, imaginative, artistic, cheerful, sociable, rational and pleasure-seeking. These people are also forgetful, impulsive and unpredictable.
qstr_{s1}^^{s2}_{s3}|{s1}^^{s2} {s3}
qstr_According_the_four_c|According the four cardinal virtues recognized in the writings of classical antiquity, you most often exhibit:
qstr_Wisdom._Also_called_|Wisdom. Also called Prudence, it governs actions according to the dictate of reason in order to choose the right response to any situation. Wisdom implies the ability to judge in advance the probable consequences of one's actions.
qstr_Fortitude._Also_call|Fortitude. Also called Courage, it ensures firmness during difficulties and constancy in the pursuit of goals. It is the strength to make a decision based on moral convictions, whatever the consequences.
qstr_Temperance._Also_cal|Temperance. Also called Self-Control, it resists the attraction of pleasures in order to render the body governable. Temperance represents restraint and control over passions and desires.
qstr_Justice._It_symboliz|Justice. It symbolizes respect for law and promotes rewarding good and punishing evil.
qstr_{s1}^^{s2}._{s3}|{s1}^^{s2}. {s3}
qstr_You_are_a_foreigner.|You are a foreigner.
qstr_You_come_from_far_aw|You come from far away, seeking to get to know the north of Europe, a world dotted with dozens of small kingdoms all harassed by the Vikings.
qstr_You_are_Scot_Pict|You are Scot-Pict,
qstr_a_descendant_of_an_a|a descendant of an ancient people of uncertain origin who inhabited parts of northern Britain, or of Goidelic invaders now mixed in.
qstr_You_are_Briton|You are Briton,
qstr_a_member_of_the_Celt|a member of the Celtic people who inhabited Britain since before the Roman invasion.
qstr_You_are_Goidel|You are Goidel,
qstr_a_member_of_Celtic_p|a member of Celtic people inhabiting the island of Eriu, which the Romans called Hibernia.
qstr_You_are_Frisian.|You are Frisian.
qstr_You_come_from_the_di|You come from the dike country of Friese on the north edge of continental Europe.
qstr_You_are_a_Norseman|You are a Norseman,
qstr_a_member_of_the_paga|a member of the pagan peoples native to Scandia who raid the coast of Europe.
qstr_You_are_Anglo_Saxon|You are Anglo-Saxon,
qstr_a_descendant_of_a_Ge|a descendant of a Germanic people who, in ancient times, dwelt in Sleswick, near the mouth of the Elbe. Your people have been taking over Britain for four hundred years.
