
dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Я желаю отсрочить назначение лорда.
dlga_lord_denounce_3:close_window.1|Пф. Вот как? Вы сами это придумали или мои враги научили вас, что говорить? А впрочем, неважно. Я не стану участвовать в вашей игре. Убирайтесь и прихватите с собой клубок интриг.
dlga_lord_denounce_3:lord_denounce_4|{Господин/Госпожа}, я не позволю пятнать свое имя. Возьмите свои слова назад или в следующий раз мы встретимся на поединке.
dlga_lord_denounce_3:lord_denounce_4.1|Действительно? Так вот что я вам скажу: вы змея, мошенник и, если не осмелитесь выступить против меня на дуэли, то еще и трус. Что вы на это скажете? Вы забираете свои слова обратно или желаете скрестить клинки?
dlga_lord_denounce_4:lord_respond_to_insult_challenge_duel_confirm|Я с удовольствием скрещу с вами клинки.
dlga_lord_denounce_4:lord_denounce_retract|Мне... Мне не стоило столько пить. Приношу свои извинения.
dlga_lord_denounce_retract:lord_pretalk|Я так и думал. А теперь убирайтесь отсюда.
dlga_lord_talk:lord_respond_to_insult|{s9}
dlga_lord_pretalk:party_encounter_lord_hostile_attacker_2|Хватит болтовни! Склонись или сражайся!
dlga_lord_pretalk:lord_talk|Что-нибудь еще?
dlga_hero_pretalk:lord_talk|Что-нибудь еще?
dlga_lord_talk:lord_quarrel_intervention_1|Мне хотелось бы поговорить о вашей ссоре с {s11}.
dlga_lord_talk:lord_recruit_1_relation|Подождите! Мне надо вам кое-что сказать. 
dlga_lord_talk:lord_bandit_information|Я разыскиваю шайку разбойников с такими приметами... Вы их видели?
dlga_lord_bandit_information:lord_pretalk|{s15}
dlga_lord_talk:lord_internal_politics_cur_stance|Кого, по вашему мнению, следует назначить главнокомандующим нашего королевства?
dlga_lord_talk:lord_internal_politics_cur_stance.1|Кто, по вашему мнению, должен получить в надел {s4}?
dlga_lord_talk:lord_husband_auto_recruit|Нужно, чтобы Вы отказались от преданности {s4} и присоединились к {s5}, мой муж.
