qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_Pagan|Язычество
qstr_Christian|Христианство
qstr_Storyline|Cюжетная линия
qstr_Sandbox|Песочница
qstr_Normal|Средний
qstr_Custom|Обычая
qstr_Beginner|Новичок
qstr_Full_Realism|Реализм
qstr_Impossible|Хардкор
qstr_Young__16_22_years_o|Молодой (16-22 лет)
qstr_Adult__23_40_years_o|Взрослый(23-40 лет)
qstr_Elder__40_or_more_ye|Старый(старше 40 лет)
qstr_Choose_Campaign_Type|Выбрать тип игры
qstr_Choose_Difficulty_Op|Выбрать сложность
qstr_STORYLINE_CAMPAIGN|Сюжетная линия
qstr_SANDBOX_CAMPAIGN|Песочница
qstr_>_Viking_Conquest_Ma|> Завоевание Викингов основной кампании
qstr_A_storyline_campaign|Сюжетная линия с главной целью и второстепенными квестами.
qstr_>_Sandbox_Campaign|> Песочница
qstr_No_main_story_or_spe|Нет главной цели. Свободная игра.
qstr_You_can_change_these|Вы можете изменить эти параметры во время игры^в вашем лагере
qstr_Nationality:|Национальность:
qstr_STAMINA_>_Realism_Fe|Выносливость> Реализм. Настоятельно рекомендуется.
qstr_This_feature_affects|Эта функция влияет на игрока и всех других персонажей. Выносливость определяется здоровьем и спортивными характеристиками, и влияет на их физическое Сопротивление во время боя. Когда силы вашего персонажа будут истощены он или она не сможет бежать и так же понижаются хорактеристики атаки.
qstr_ARMOR_PENALTY_>_Real|Повреждение экипировки> Реализм.
qstr_This_feature_affects_|Эта функция влияет на игрока и всех других персонажей.Ваши навыки будет ухудшаться, когда вы оденете тяжелой вооружение.Это умение приносит улучшенный баланс в игре, так как легкие войска становятся более значемыми.
qstr_AUTOSAVE_>_Game_Feat|Автосохранение>Особенность игры. Настоятельно рекомендуется.
qstr_Your_game_is_saved_i|Ваша игра сохраняется каждые 48 часов геймплея.
qstr_RESTING_MORALE_>_Rea|Мораль>Реализм.
qstr_Your_army_needs_rest|Время от времени ваши войска нуждается в отдыхе в городе, палатке или в вашем убежище.Отсутствие отдыха снизит моральный дух войск, во время отдыха мораль будет восполняться.
qstr_INSANE_DAMAGE_>_Craz|Смертельные раны> Для хардкорных игроков.Рекомендуется только для опытных игроков.
qstr_Your_enemies_will_ca|Ваши враги будут наносить двойной урон.
qstr_GORE_>_+18_Feature.|Кровь> +18
qstr_Add_decapitation_to_|Добавляет кровь и отрубание конечностей.
qstr_...Anno_Domini_868..|...868 От Рождества Христова...
qstr_Anno_Domini_867|^^868 От Р.Х.
qstr_Stamina:|Выносливость:
qstr_Armor_Penalty:|Повреждение экипировки:
qstr_Autosave:|Автосохранение:
qstr_Rest_Improves_Morale|Мораль:
qstr_Insane_Damage:|Смертельные раны:
qstr_Gore:|Кровь:
qstr_We_are_in_the_ninth_|IX Век.^Давно прошли времена Великого Рима,^поглощенного во времени,^остается несколько веков до^золотого века рыцарей и принцесс.^^Это жестокая, темная и беспощадная^эра грубой силы и выживания,где^мужчины идут в постель каждую ночь^в молитве,надеясь увидеть новый день.
qstr_It_is_the_age_of_the|Это времена Викингов,^кланов Ирландии, вознесения^Уэссекса и появление^королевства Альба.^^Это ждет вас ...
qstr_Default Default
qstr_Randomize Randomize
qstr_Who_are_you?|Кто вы?
qstr_Be_careful_with_your|Будьте осторожны с вашим выбором.^Он будет влиять на ваши атрибуты, навыки и диалоги.
qstr_Bio:|Биография
qstr_Gender:|Пол:
qstr_Height:|Рост:
qstr_Age:|Возраст:
qstr_Personality:|Личность:
qstr_Greatest_Virtue:|Лучшие качества:
qstr_Nationality:|Национальность:
qstr_Father_s_Occupation:|Род занятий отца:
qstr_Learnt_While_a_Child|Обучался в детстве
qstr_Vocation:|Призвание:
qstr_Religion:|Религия:
qstr_Default|По умолчанию
qstr_Randomize|Случайные
qstr_You_are_an_elder._Yo|Вы стары. У вас большой жизненный опыт.Вы не сильны и ловки, как раньше, но, конечно, вы мудрее.
qstr_You_are_an_adult._Yo|Вы взрослый. Вы в том возрасте, когда имеете разумное количество опыта и хорошее здоровье.
qstr_You_are_a_youth._You|Вы молоды. Полны энергии и готовы изменить мир вокруг вас.
qstr_According_to_Galen_s|Согласно древним темпераментов Галена, ваша личность:
qstr_Phlegmatic._Its_elem|Флегматик. Его элементом является вода и ее Гипокризия скользкости.Это относится к тем людям, которые спокойные, сострадательные, самолюбивые, надежные, застенчивые, наблюдательные и последовательные. Эти люди также устойчивы к различным происшествиям, спокойны и сдержанны.
qstr_Melancholic._Its_ele|Меланхолик.Его элементом является земля и ее Гипокризия черная желчь.Это относится к тем людям, которые чувствительны, интуитивны, творческие натуры, перфекционисты, терпеливы, заботливы и терпимы. Эти люди также неуклюжы, одержимы, депрессивны и недовольны.
qstr_Choleric._Its_elemen|Холерик. Его элемент огнь и его Гипокризия желтая желчь. Это относится к тем людям, которые убедителены, эгоцентричны, экстраверты, независимы, харизматичны и амбициозны. Эти люди также настойчивы, импульсивны, злые, беспокойны и раздражительны.
qstr_Sanguine._Its_elemen|Оптимист. Его элементом является воздух, и его Гипокризия кровь. Это относится к тем людям, которые оптимистичны, творческие, веселы, общительны, рациональны и удовлетворительны. Эти люди также забывчивы, импульсивны и непредсказуемы.
qstr_{s1}^^{s2}_{s3} {s1}^^{s2} {s3}
qstr_According_the_four_c|По четырем главные особенностям, признанными в трудах классической древности, вы больше всего относитесь к:
qstr_Wisdom._Also_called_|Мудрости. Также именуемой Благоразумием, вы принимаете решения используя разум для того, чтобы выбрать правильныое решение для любой ситуации. Мудрость предполагает способность судить заранее возможные последствия своих действий.
qstr_Fortitude._Also_call|Стойкисти. Также именуемой Мужественностью, вы устоичивы при трудностях и всегда достинаете цели. Это сила, принимать решения, основанные на нравственных убеждениях, независимо от последствий.
qstr_Temperance._Also_cal|Уравновешенности. Также именуемой Самоконтроль, он сопротивляется соблазмам для того, чтобы сделать тело управляемым. Уравновешенность представляет сдержанность и контроль над страстями и похотями.
qstr_Justice._It_symboliz|Справедливости. Она символизирует уважение к закону, помогает добрым и наказание злых.
qstr_{s1}^^{s2}._{s3} {s1}^^{s2}. {s3}
qstr_You_are_a_foreigner.|Вы иностранец,
qstr_You_come_from_far_aw|Вы приехали издалека, стремясь узнать север Европы, мира усеян множеством маленьких королевств разграбленные Викингами.
qstr_You_are_Scot_Pict|Вы Пикт,
qstr_a_descendant_of_an_a|Потомок древних людей неопределенного происхождения, которые живут в некоторых районах северной Англии.
qstr_You_are_Briton|Вы Брит,
qstr_a_member_of_the_Celt|Потомок кельтских народов, заселявших Британию еще до Римского вторжения.
qstr_You_are_Goidel|Вы Иностранец,
qstr_a_member_of_Celtic_p|Потомок кельтских народов, населявших остров Эриу, который Римляне называли Хиберния.
qstr_You_are_Frisian.|Вы Фриз,
qstr_You_come_from_the_di|Вы прибыли из страны Фризия на северной окраине континентальной Европы.
qstr_You_are_a_Norseman|Вы Норд,
qstr_a_member_of_the_paga|Потомок языческих народов Скандии, которая вторглась в побережье Европы.
qstr_You_are_Anglo_Saxon|Вы Англо-Сакс,
qstr_a_descendant_of_a_Ge|Потомок германских народов, которые в древние времена, жили в Шлезвике, недалеко от устья Эльбы. Ваши люди заваевывали Великобританию в течение четырех сотен лет.
qstr_an_impoverished_nobl|Обедневшего дворянина
qstr_You_came_into_this_w|Вы пришли в этот мир,{reg59?daughter:son}из-за потери влияния ващего рода. К тому времени, усадьбы исчезли, а только дом, в котором ты жил осталися. Тем не менее, несмотря на все ваши трудности, ваши родители дали вам хорошее образование, готовив вас с детства за возможность стать компаньоном для королевской семьи.
