dialogsfile version 2
5526
dlga_port_chief_travel:close_window|К сожалению, в настоящее время в порту нет пассажирских кораблей.
dlga_lord_give_oath_9:lord_give_oath_give_up|{reg65?Моя госпожа:Мой господин}, мне нужно еще время, чтобы все обдумать.
dlga_lord_give_oath_10:lord_give_oath_go_on_2|Отлично. Вы принесли мне клятву верности, {playername}. Храните же ее вечно, ревностно и с должной смелостью.
dlga_lord_give_oath_go_on_2:lord_give_oath_go_on_3|Да будет известно, что с сего дня вы мой клятвенник и вассал. Я предоставляю вам свою защиту, дарую вам право поднимать оружие в мою честь и обещаю, что не лишу вас жизни, свободы или собственности, кроме как по законному приговору равных вам, либо по закону и обычаю этой страны.{reg1? Кроме того, вам во владение переходит {s1} со всеми рентами и доходами:}.
dlga_lord_give_oath_go_on_3:lord_give_conclude|Вы поступили мудро, {playername}. Служите мне как следует - и, я обещаю, вы возвыситесь.
dlga_lord_give_conclude:lord_give_conclude_2|{s41}
dlga_lord_give_conclude_2:close_window.1|Да будет так, жена моя. Хотелось бы мне, чтобы все мои вассалы были бы столь же верны и доблестны.
dlga_lord_give_conclude_2:close_window.2|{playername}, я возлагаю на вас большие надежды. Верю, что вы сможете их оправдать.
dlga_lord_ask_enter_service:lord_enter_service_swear|Да, это мудрое решение. Верный мне человек сможет стать богатым и сильным, а наши враги... Что ж, наши враги падут, как пшеница под серпом. Однако, чтобы поступить ко мне на службу, вы должны прежде отринуть все мирские клятвы и узы, и поклясться, что будете служить только {s5}.
dlga_lord_enter_service_swear:lord_enter_service_swear_accepted|Я клянусь в этом, {s65}.
dlga_lord_enter_service_swear:lord_enter_service_swear_denied|Мне нужно обдумать это.
dlga_lord_enter_service_swear_denied:close_window|Вы что, пытаетесь меня одурачить? У меня нет времени на игры, {playername}. Принимайте решение и прекратите тратить мое время.
dlga_lord_enter_service_swear_accepted:lord_enter_service_swear_accepted_2|В таком случае я с удовольствием приветствую вас на службе моему дому. С этого дня, {playername}, вы - боец и защитник {s5} со всеми вытекающими обязанностями и привилегиями.
dlga_lord_enter_service_swear_accepted_2:close_window|Я поручаю вам уничтожать наших врагов, где бы они вам не встретились. Время от времени у меня и у некоторых подвластных мне лордов будут для вас специальные задания. Служите, сражайтесь и оставайтесь верны вашим клятвам. Это поможет вам продвинуться, если вы желаете повышения. Да ниспошлет господь всем нам долгую жизнь и многочисленные победы, которые мы отпразднуем в моем дворце!
dlga_lord_ask_leave_service:lord_ask_leave_service_verify|Гхм. Ваша клятва стала вам обузой, {playername}? Просьба об освобождении от клятвы весьма необычна, но, учитывая вашу беспорочную службу, я не буду держать вас, если вы действительно хотите уйти. Хотя мне вас будет очень не хватать.
dlga_lord_ask_leave_service:lord_ask_leave_service_verify.1|Освободить вас от клятвы? Хмм, пожалуй, это будет даже к лучшему... Однако, {playername}, вы должны быть совершенно уверены в своем желании. Это очень серьезное решение.
