str_no_string|NO STRING!
str_npc_enchantress_intro_response_1|Расскажи мне о себе.
str_npc1_intro_response_2|Да, я знаю, что он хочет, чтобы вы присоединились ко мне , но я не нуждаюсь в вас . Прощание .
str_npc2_intro_response_2|У меня есть более важные дела.
str_npc3_intro_response_2|Беги , девочка. У меня есть работа  и у меня нет абсолютно никакого намерения делать то, что это вы боитесь , я сделаю.
str_npc4_intro_response_2|Нет.
str_npc5_intro_response_2|У меня нет на это времени .
str_npc6_intro_response_2|У меня есть более важные дела.
str_npc7_intro_response_2|Верно. Я не буду вас беспокоить.
str_npc8_intro_response_2|ичего вообще, от одного так ясно склонны любезностями . Хороший день для вас .
str_npc9_intro_response_2|Выбирайте сами!
str_npc10_intro_response_2|Вот высокомерный разговор , и я не буду слышать. Хорошего дня.
str_npc11_intro_response_2|О, у меня нет на это времени !
str_npc12_intro_response_2|Извините, я боюсь.
str_npc13_intro_response_2|Ничего, Извиняюсь.
str_npc14_intro_response_2|Нет, и я не могу сказать, что я очень хочу с вами познакомиться .
str_npc15_intro_response_2|Я признателен, что вы устроили свой ​​собственный бизнес , сэр .
str_npc16_intro_response_2|Я ухожу. Когда вы научитесь говорить , дайте мне знать.
str_npc_basher_intro_response_2|Не сейчас, пикт.
str_npc_sange_intro_response_2|Не сейчас, пикт.
str_npc_paintrain_intro_response_2|Ничего, Извиняюсь.
str_npc_hammertime_intro_response_2|Ничего, Извиняюсь.
str_npc_tank_intro_response_2|Ничего, Извиняюсь.
str_npc_backwoodsharry_intro_response_2|Ничего, Извиняюсь.
str_npc_deadeye_intro_response_2|Тогда я не буду вмешиваться , сэр. Прощайте.
